                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                   2.99,                 3.0436,                 2.4344,                 2.9705,                 3.2929,                 2.0207,                0.00821,                0.17002,                0.01173,                0.00319,                 3.1139,                 3.5405,                  2.673,                 3.2404,                 3.8047,                 2.1995,               0.003466,               0.003466,               0.003466
                     69,                 2.9807,                  3.037,                 2.3415,                 2.9794,                 3.3227,                 1.9416,                0.31452,                0.04674,                0.04505,                0.01467,                  2.826,                 2.9107,                 2.1669,                 2.7895,                 3.1263,                 1.8124,               0.003367,               0.003367,               0.003367
                     70,                 2.9497,                  3.056,                 2.3302,                 2.9675,                 3.3228,                 1.9567,                0.26378,                0.06581,                0.03635,                0.01184,                   2.84,                 2.9679,                  2.193,                 2.7546,                 3.1577,                 1.8146,               0.003268,               0.003268,               0.003268
                     71,                  2.994,                 2.9811,                  2.333,                 2.9534,                 3.2001,                 1.9113,                0.26721,                0.05479,                0.04009,                0.01277,                 2.9082,                 3.0168,                 2.2194,                  2.822,                 3.2069,                 1.8346,               0.003169,               0.003169,               0.003169
                     72,                 2.9631,                 3.0366,                 2.3489,                 2.9059,                  3.317,                 1.9872,                0.26928,                0.05622,                0.03733,                0.01293,                 2.8018,                 2.8843,                 2.1644,                 2.6951,                 3.1168,                 1.7729,                0.00307,                0.00307,                0.00307
                     73,                 2.9059,                 2.9335,                 2.3074,                 2.8986,                 3.2122,                 1.9192,                0.25304,                0.05092,                0.02665,                 0.0079,                 2.9077,                 3.0131,                 2.2334,                  2.854,                 3.2556,                 1.8294,               0.002971,               0.002971,               0.002971
                     74,                 2.8935,                 3.0363,                 2.2891,                 2.8252,                 3.2814,                 1.9281,                0.28595,                0.06633,                0.03904,                0.01349,                  2.757,                 2.8217,                 2.1021,                 2.6682,                  3.069,                 1.7325,               0.002872,               0.002872,               0.002872
                     75,                 2.8666,                 2.8457,                 2.2296,                 2.8015,                 3.1239,                 1.8795,                0.29118,                0.07061,                0.04495,                0.01531,                 2.7405,                 2.8424,                 2.0837,                  2.649,                  3.067,                 1.7252,               0.002773,               0.002773,               0.002773
                     76,                 2.8918,                  3.006,                 2.2719,                 2.8885,                 3.2803,                 1.9099,                0.23172,                0.05498,                0.04798,                  0.017,                 2.6662,                 2.7917,                 2.0595,                 2.5842,                  3.045,                 1.7069,               0.002674,               0.002674,               0.002674
                     77,                 2.8367,                  3.175,                 2.2387,                 2.8495,                 3.3445,                  1.892,                0.21719,                0.06039,                0.04789,                0.01662,                 2.6814,                  2.819,                 2.0542,                 2.6104,                 3.0523,                 1.7021,               0.002575,               0.002575,               0.002575
                     78,                 2.8281,                 2.8939,                 2.2372,                   2.84,                 3.1416,                 1.8546,                0.20535,                 0.0594,                0.04772,                0.01706,                 2.6755,                 2.8209,                 2.0443,                 2.5964,                 3.0484,                 1.6891,               0.002476,               0.002476,               0.002476
                     79,                 2.7602,                 2.9029,                 2.2386,                 2.8455,                 3.1841,                 1.8628,                0.19578,                0.06007,                0.03927,                0.01418,                 2.6791,                 2.8149,                 2.0517,                 2.6304,                 3.0768,                 1.7167,               0.002377,               0.002377,               0.002377
                     80,                 2.7637,                 2.8954,                  2.225,                 2.7254,                 3.1582,                 1.8534,                0.21004,                0.04947,                 0.0378,                0.01389,                 2.7073,                 2.8381,                 2.0604,                 2.5977,                 3.0797,                 1.7032,               0.002278,               0.002278,               0.002278
                     81,                 2.8332,                 2.8767,                 2.2081,                  2.803,                 3.1701,                 1.8363,                0.18805,                0.06724,                0.04049,                0.01512,                 2.6536,                 2.7666,                 2.0295,                 2.5759,                 3.0309,                 1.6916,               0.002179,               0.002179,               0.002179
                     82,                 2.8671,                 2.9638,                 2.2307,                 2.8851,                 3.2751,                 1.9022,                0.24575,                 0.0441,                0.03211,                0.01089,                 2.7959,                 2.9274,                 2.1385,                 2.7032,                 3.1662,                 1.7476,                0.00208,                0.00208,                0.00208
                     83,                 2.7683,                 2.8945,                 2.1789,                 2.7132,                 3.1932,                 1.8381,                0.28347,                0.05398,                0.04266,                0.01547,                 2.7093,                  2.782,                 2.0734,                 2.6025,                 3.0404,                 1.6947,               0.001981,               0.001981,               0.001981
                     84,                 2.7167,                 2.8386,                 2.2036,                 2.7224,                 3.1724,                 1.8669,                0.28821,                0.05706,                0.04611,                0.01688,                 2.6728,                 2.7183,                 2.0415,                  2.566,                 3.0176,                 1.6701,               0.001882,               0.001882,               0.001882
                     85,                 2.6831,                 2.8213,                 2.1711,                 2.7075,                  3.117,                  1.797,                0.28134,                0.06484,                0.04712,                0.01752,                 2.6197,                  2.723,                 2.0139,                 2.5424,                 3.0307,                 1.6705,               0.001783,               0.001783,               0.001783
                     86,                 2.7285,                 2.8139,                 2.1788,                 2.6991,                  3.104,                 1.8172,                 0.2956,                0.05977,                0.04798,                0.01812,                 2.6125,                  2.708,                 2.0069,                  2.551,                 3.0608,                 1.6743,               0.001684,               0.001684,               0.001684
                     87,                 2.7128,                 2.8488,                 2.1877,                 2.7346,                 3.2018,                 1.8524,                0.27317,                0.05799,                0.04257,                0.01505,                 2.6694,                 2.8074,                 2.0275,                  2.591,                 3.0992,                 1.7092,               0.001585,               0.001585,               0.001585
                     88,                 2.6686,                 2.8061,                 2.1728,                 2.6844,                 3.1404,                 1.8549,                0.28914,                0.05463,                0.04664,                0.01652,                 2.6547,                 2.7602,                 2.0309,                 2.5872,                 3.0617,                 1.6905,               0.001486,               0.001486,               0.001486
                     89,                 2.7052,                 2.8589,                 2.1775,                 2.7771,                 3.1187,                 1.8255,                0.28563,                0.06652,                0.04844,                0.01769,                 2.5781,                 2.7138,                 1.9887,                 2.5288,                 3.0238,                 1.6713,               0.001387,               0.001387,               0.001387
                     90,                 2.6756,                 2.7935,                 2.1413,                 2.7048,                 3.0786,                 1.7638,                0.28383,                0.06561,                0.04828,                0.01779,                 2.5837,                 2.7027,                 1.9866,                 2.5235,                 3.0157,                 1.6633,               0.001288,               0.001288,               0.001288
                     91,                 2.7441,                 3.1611,                 2.0939,                  2.661,                 3.4333,                  1.799,                 0.2769,                 0.0644,                 0.0484,                0.01901,                 2.6649,                   2.76,                 2.0236,                 2.5842,                 3.0816,                 1.7085,               0.001189,               0.001189,               0.001189
                     92,                 2.7999,                 3.1456,                 2.0997,                 2.7409,                 3.4409,                 1.8168,                0.28002,                0.05457,                0.04764,                0.01856,                  2.675,                 2.7838,                 2.0166,                 2.5904,                 3.1054,                  1.697,                0.00109,                0.00109,                0.00109
                     93,                 2.7428,                 3.0156,                 2.0595,                 2.7053,                 3.2811,                 1.7632,                0.19405,                0.05886,                0.05027,                0.01864,                 2.6214,                 2.7452,                  1.969,                 2.5249,                 3.0993,                 1.6617,               0.000991,               0.000991,               0.000991
                     94,                  2.633,                 2.9306,                 2.0792,                 2.6391,                 3.2732,                 1.8244,                0.17983,                0.07844,                 0.0441,                0.01478,                 2.6737,                 2.8155,                 2.0221,                 2.5669,                   3.13,                 1.6634,               0.000892,               0.000892,               0.000892
                     95,                 2.6655,                 2.9628,                  2.054,                 2.6777,                 3.2547,                 1.7913,                0.19082,                0.10115,                0.05759,                0.02178,                 2.5875,                 2.7222,                 1.9604,                 2.5057,                 3.0795,                 1.6487,               0.000793,               0.000793,               0.000793
                     96,                 2.6654,                  2.984,                 2.1054,                 2.5873,                  3.335,                 1.8308,                0.16366,                0.12501,                0.05061,                0.01831,                 2.6251,                 2.7652,                 2.0033,                  2.548,                 3.1079,                 1.6546,               0.000694,               0.000694,               0.000694
                     97,                 2.5297,                 3.3618,                 1.9061,                 2.5105,                  3.234,                 1.6214,                0.21355,                0.08104,                0.05814,                0.02142,                 2.5664,                 2.7088,                 1.9614,                 2.5075,                 3.0617,                 1.6383,               0.000595,               0.000595,               0.000595
                     98,                 2.6435,                 2.9342,                 2.0324,                 2.6386,                 3.2813,                 1.7867,                0.29752,                0.06298,                0.05654,                0.02239,                 2.5173,                 2.6705,                 1.9303,                 2.4785,                 3.0208,                 1.6443,               0.000496,               0.000496,               0.000496
                     99,                 2.6132,                 2.9028,                  1.977,                 2.5661,                 3.1771,                 1.6995,                0.29896,                0.05874,                0.05528,                0.02154,                 2.5055,                 2.6658,                 1.9294,                 2.4792,                 3.0103,                   1.63,               0.000397,               0.000397,               0.000397
                    100,                  2.575,                 2.8781,                 1.9905,                  2.538,                 3.2235,                 1.7164,                 0.2944,                0.06168,                0.05547,                0.02144,                 2.5012,                 2.6528,                 1.9249,                 2.4717,                 2.9991,                 1.6298,               0.000298,               0.000298,               0.000298
